# gunzip -c exp/tri3a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3a/graph 
# Started at Fri Feb 21 11:15:48 CET 2020
#
Overall, N_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,15) frames.
Overall, UW1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.5,26) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,14) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,10) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.1,23) frames.
Overall, AH1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
The optional-silence phone SILE occupies 16.9% of frames overall 
Limiting the stats to the 91.3% of frames not covered by an utterance-[begin/end] phone, optional-silence SILE occupies 9.0% of frames.
Assuming 100 frames per second, the alignments represent 5.4 hours of data, or 4.5 hours if SILE frames are excluded.
Utterance-internal optional-silences SILE comprise 3.7% of utterance-internal phones, with duration (median, mean, 95-percentile) = (17,22.2,61)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Feb 21 11:15:48 CET 2020, elapsed time 0 seconds
