# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Fri Feb 21 02:13:44 CET 2020
#
Overall, NG_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,19) frames.
Overall, IH1_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,15) frames.
Overall, D_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,13) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,17) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,15) frames.
Overall, N_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,15) frames.
Overall, UW1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,24) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
Overall, AH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.6,25) frames.
The optional-silence phone SILE occupies 18.3% of frames overall 
Limiting the stats to the 90.9% of frames not covered by an utterance-[begin/end] phone, optional-silence SILE occupies 10.0% of frames.
Assuming 100 frames per second, the alignments represent 5.4 hours of data, or 4.4 hours if SILE frames are excluded.
Utterance-internal optional-silences SILE comprise 3.7% of utterance-internal phones, with duration (median, mean, 95-percentile) = (20,24.4,65)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Feb 21 02:13:44 CET 2020, elapsed time 0 seconds
